Zeuzera sp. (?);;Cossidae;Lep;;Or;Malaysia, Sabah (Chung et al 2002);;larva
Brihaspa;atrostigmella Moore;Crambidae;Lep;;Or;Vietnam (DeFoliart 2002);;larva pupa
Omphisa;fuscidentalis Hampson;Crambidae;Lep;"bamboo borer
bamboo worm";Or;"Thailand (Hanboonsong et al 2000,
Hanboonsong 2010) Laos";;
Ancistroides;nigrita (Latr.);Hesperiidae;Lep;chocolate demon;Or;Malaysia (Chung 2010) Malaysia,;;larva
Erionata;thrax (L.);Hesperiidae;Lep;banana skipper;Or;"Malaysia (Chung 2010) Malaysia, Sabah (Chung et al 2002) Thailand (Hanboonsong et al 2000,
Hanboonsong 2010) Indonesia";;larva pupa
Hyblaea;puera (Cramer);Hyblaeidae;Lep;teak defoliator;Or;"Indonesia (De Foliart 2002, Lukiwati
2010)";earlier in Noctuidae;larva pupa
Malacosoma sp.;;Lasiocampidae;Lep;;Or;India (DeFoliart 2002);;
Liphyra;brassolis Westw.;Lycaenidae;Lep;;Or;Thailand (Eastwood 2010);in red ant nests;larva
Catopsilia sp.;(prob. pomona L.);Pieridae;Lep;;Or;Indonesia (Meer, v.d. Mohr 1965);;
Eurema;(prob. hecabe L.);Pieridae;Lep;;Or;Indonesia (Meer, v.d. Mohr 1965);syn Terias;
Antheraea;assama Westw. syn;Saturniidae;Lep;muga silk-moth;Or;India (DeFoliart 2002);see A. assamensis;pupa
Antheraea;assamensis Helfer;Saturniidae;Lep;muga silk-moth;Or;India (Chakravorty et al 2013);syn A. assamane;larva pupa
Antheraea;paphia (L.);Saturniidae;Lep;"Indian tussah
silkworm";Or;India (DeFoliart 2002);;pupa
Antheraea;roylei Moore;Saturniidae;Lep;;Or;India (DeFoliart 2002);;pupa
Cricula;trifenestrata (helfer);Saturniidae;Lep;;Or;Indonesia (Roepke 1951);;pupa
Samia;cynthia (Drury);Saturniidae;Lep;Cynthia moth;Or;India (DeFoliart 2002);;
Samia;ricini (Boisd.);Saturniidae;Lep;eri silk-moth;Or;"India (DeFoliart 2002, Chakravorty et
al 2013)";Samia cynthia ricini ?;pupa
Acherontia;lachesis F.;Sphingidae;Lep;;Or;Indonesia (Meer, v.d. Mohr 1965);;
Acherontia;styx Westw.;Sphingidae;Lep;;Or;Indonesia (Meer, v.d. Mohr 1965);;
Agrius;convolvuli (L.);Sphingidae;Lep;;Or;Indonesia (Meer, v.d. Mohr 1965);syn Herse convulvuli (L.);larva
Hippotion;celerio (L.);Sphingidae;Lep;;Or;Malaysia, Sabah (Chung et al 2002);;larva
Aeschna sp.;;Aeschnidae;Odonata;;Or;"India (DeFoliart 2002), Thailand
(Hanboonsong et al 2000,";;nymph
Aeschnidae gen.;;Aeschnidae;Odonata;;Or;Thailand (DeFoliart 2002);;nymph
Anax;guttatus (Burm.);Aeschnidae;Odonata;hairy emperor;Or;"Thailand (DeFoliart 2002), Laos
(Cesard 2006), Indonesia (Meer, v.d.";;adult
Anax sp.;;Aeschnidae;Odonata;;Or;Indonesia (DeFoliart 2002);;nymph adult
Ceriagrion sp.;;Coenagrionidae;Odonata;damselfly;Or;"Thailand (Hanboonsong et al 2000,
Hanboonsong 2010), Laos (Yhoung-";;
Enallagma sp.;;Coenagrionidae;Odonata;;Or;India (Chakravorty et al 2011);;larva adult
Epophthalmia;vittigera (Rambur);Corduliidae;Odonata;;Or;Thailand (DeFoliart 2002);;nymph
Epophthalmia;vittigera bellicose;Corduliidae;Odonata;;Or;Thailand (Hanboonsong et al 2000,;;
Ictinogomphus;rapax (Rambur);Gomphidae;Odonata;;Or;"India (Singh et al 2007, Chakravorty
et al 2011)";;larva adult
Stylurus sp. (?);;Gomphidae;Odonata;;Or;India (Chakravorty et al 2011);;nymph
Gomphidae (gen);;Gomphidae;Odonata;;Or;India (Chakravorty et al 2013);;larvae
Acisoma;panorpoides Rambur;Libellulidae;Odonata;;Or;India (DeFoliart 2002);;nymph
Brachythemis;contaminata (F.);Libellulidae;Odonata;;Or;"India (Singh et al 2007, Chakravorty
et al 2011)";;larva adult
Cratilla;lineata assidua Lieftinck;Libellulidae;Odonata;;Or;Indonesia (Cesard 2006);;adult
Crocothemis;servilia (Drury);Libellulidae;Odonata;;Or;"Indonesia (Cesard 2006) India
(Shantilaba et al 2014, Sangma et al";;adult nymph
Crocothemis sp.;;Libellulidae;Odonata;river skimmers;Or;"Indonesia (DeFoliart 2002) Laos
(Xhoung-Aree et al 2005)";;nymph adult
Diplacodes;trivialis (Rambur);Libellulidae;Odonata;;Or;India (Singh et al 2007);;nymph adult
Diplacodes sp.;;Libellulidae;Odonata;;Or;India (Chakravorty et al 2011);;larva
Libellula;pulchella Drury check;Libellulidae;Odonata;;Or;Thailand (DeFoliart 2002);"L. pulchella is a Nearctic
sp.";nymph
Libellulidae gen.;;Libellulidae;Odonata;skimmers;Or;Thailand (DeFoliart 2002);;nymph
Neurothemis;ramburii (Bauer);Libellulidae;Odonata;;Or;Indonesia (Cesard 2006);;
Neurothemis sp.;;Libellulidae;Odonata;;Or;Indonesia (DeFoliart 2002);;nymph adult
Orthetrum;glaucum (Brauer);Libellulidae;Odonata;;Or;Indonesia (Cesard 2006);;adult
Orthetrum;sabina (Drury);Libellulidae;Odonata;;Or;Indonesia (Cesard 2006);;adult
Orthetrum sp.;;Libellulidae;Odonata;;Or;Malaysia, Sabah (Chung et al 2002);;
Pachydiplax sp. (?);;Libellulidae;Odonata;;Or;India (Chakravorty et al 2011);;larva adult
Pantala;flavscens (L.);Libellulidae;Odonata;;Or;Indonesia (Cesard 2006, Lukiwati;;adult
Potamarcha;obscura (Ramb.);Libellulidae;Odonata;;Or;Indonesia (Cesard 2006);;adult
Rhyothemis sp.;;Libellulidae;Odonata;;Or;"Thailand (DeFoliart 2002,
Hanboonsong et al 2000,";;nymph
Sympetrum sp.;;Libellulidae;Odonata;;Or;India (Chakravorty et al 2011);;larva adult
Tramea;transmarina euryala Selys;Libellulidae;Odonata;;Or;Indonesia (Meer, v.d. Mohr 1965);or T. limbata (Desj.);
Trithemis;aurora (Burm.);Libellulidae;Odonata;;Or;Indonesia (Cesard 2006);;adult
Urothemis sp. (?);;Libellulidae;Odonata;;Or;India (Chakravorty et al 2011);;larva adult
Macroma sp.;;Macromiidae;Odonata;river skimmers;Or;Thailand (DeFoliart 2002);;nymph
Acrida;cinerea (Thunberg);Acrididae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;
Acrida;exaltata (Walker);Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.;;adult
Acrida;gigantea (Herbst);Acrididae;Orth;;Or;India (DeFoliart 2002);;
Acrida;willemsei Dirsch;Acrididae;Orth;;Or;Laos (Yhoung-Aree et al 2005);;
Acrida sp.;;Acrididae;Orth;;Or;"Thailand (Hanboonsong 2010)
Malaysia, Sabah (Chung et al 2002)";;
Acrydium;peregrina Ol. syn;Acrididae;Orth;;Or;"India (Meyer-Rochow & Changkia
1997)";"see Schistocerca gregaria
(Forsk.)";
Aiolopus;thalassinus tamulus (F.);Acrididae;Orth;;Or;Thailand (DeFoliart 2002);;adult
Aiolopus sp.;;Acrididae;Orth;;Or;Malaysia, Sabah (Chung et al 2002);;
Catantops;annexus Bolivar;Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.;;
Catantops syn;infuscatus (Haan);Acrididae;Orth;;Or;Thailand (DeFoliart 2002);see Stenocatantops;
Ceracris;nigricornis nigricornis;Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.;;adult
Chondacris;rosea (DeGeer);Acrididae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;adult
Chortippus sp.;;Acrididae;Orth;;Or;Thailand (Hanboonsong 2010);;
Cyrtacanthacris;tatarica (L.);Acrididae;Orth;black spotted;Or;Thailand Indonesia (DeFoliart 2002,;syn Acridium aeruginosum;adult
Diabolocantops;innotabilis (Walker);Acrididae;Orth;clown grasshopper;Or;India (Chakravorty et al 2011);;adult
Ducetia;japonica (Thunb.);Acrididae;Orth;;Or;Thailand (Hanboonsong 2010) Laos;;
Gastrimargus;marmoratus (Thunbeg);Acrididae;Orth;;Or;Indonesia (Meer, v.d. Mohr 1965);;
Hieroglyphodes;assamensis Uvarov;Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.;;adult
Hieroglyphus;concolor (Walker);Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.;;adult
Hieroglyphus;oryzivorus Carl;Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.;;adult
Heiroglyphus sp.;;Acrididae;Orth;;Or;India (Chakravorty et al 2011);;adult
Leptysma sp. check;;Acrididae;Orth;;Or;India (Chakravorty et al 2013);not Asian, Laptysma is;
Locusta;migratoria (L.);Acrididae;Orth;migratory locust;Or;Thailand (Hanboonsong et al 2000),;;adult
Locusta sp.;;Acrididae;Orth;;Or;India (Singh et al 2007);;nymph adult
Mecopoda;elongata (L.);Acrididae;Orth;;Or;India (Meyer-Rochow & Changkija;;
Mecostethus sp.;;Acrididae;Orth;;Or;Thailand (Hanboonsong 2010);syn Parapleurus;
Oxya;chinensis (Thunbberg);Acrididae;Orth;;Or;Indonesia (Meer, v.d. Mohr 1965);;
Oxya;japonica (Thunb.);Acrididae;Orth;;Or;Thailand (DeFoliart 2002) Malaysia,;;adult
Oxya;velox (F.);Acrididae;Orth;;Or;Vietnam (DeFoliart 2002);;adult
Oxya sp.;;Acrididae;Orth;;Or;India (Singh, O.T. & Chakravorty, J.),;;
Parapleuris sp. syn;;Acrididae;Orth;;Or;Thailand (Hanboonsong 2010);see Mecostethus;
Patanga;avis Rehn & Rehn;Acrididae;Orth;;Or;Thailand (Hanboonsong 2010);;
Patanga;japonica (Bolivar);Acrididae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;
Patanga;succincta (Johannson);Acrididae;Orth;Bombay locust;Or;"Thailand Philippines (DeFoliart
2002, Hanboonsong 2010), Indonesia (Meer, v.d. Mohr 1965,";Acridium rubescens in DeFoliart;adult
Phlaeoba;antennata B. v. Wattenwyl;Acrididae;Orth;;Or;"Indonesia ( Meer, v.d. Mohr 1965)
India (Singh, O.T. & Chakravorty, J.";;adult
Schistocerca;gregaria (Forskal);Acrididae;Orth;desert locust;Or;India (DeFoliart 2002);;
Schistocerca sp.;;Acrididae;Orth;;Or;"India (Singh et al 2007, Chakravorty
et al 2011)";;nymph adult
Shirakiacris;shirakii (Bolivar);Acrididae;Orth;;Or;Thailand (Hanboonsong 2010);;
Stenocatantops;splendens (Thunberg);Acrididae;Orth;;Or;Indonesia (Meer, v.d. Mohr 1965);syn Acridium infuscata Haan Catantops infuscatus Haan;
Trilophidia;annulata (Thunberg);Acrididae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;
Valanga;nigricornis (Burmeister);Acrididae;Orth;;Or;"Indonesia (Meer, v.d. Mohr 1965,
Lukiwati 2010) Malaysia, Sabah";;
Ratanga (misspelling);avis Rehn & Rehn;Catantopidae syn;Orth;;Or;Thailand (Hanboonsong 2010);see Patanga;
Acheta syn;bimaculatus De Geer;Gryllidae;Orth;;Or;India (Meyer-Rochow & Changkia;see Gryllus;
Acheta syn;confirmata Walker;Gryllidae;Orth;;Or;Laos (Yhoung-Aree et al 2005);see Modicogryllus confirmatus (Walker);
Acheta;domesticus (L.);Gryllidae;Orth;;Or;"Thailand (Hanboonsong et al 2013,
Yen 2015) Laos (Hanboonsong &";;
Acheta syn;testacea Walker;Gryllidae;Orth;;Or;Laos (Yhoung-Aree et al 2005);see T. mitratus;
Brachytrupes syn;achatinus (Stoll);Gryllidae;Orth;;Or;"India (Meyer-Rochow &
Changkija1997)";"see Tarbinskiellus
portentosus (Licht.)";
Brachytrupes syn;portentosus Licht;Gryllidae;Orth;;Or;"Thailand (Hanboonsong 2010) Laos
(Hanboonsong & Durst 2014)";see Tarbinskiellus;
Grylloderes;melanocephalus (Serv.);Gryllidae;Orth;;Or;India (DeFoliart 2002, Meyer-;syn Grylloderes;
Gryllus;bimaculatus De Geer;Gryllidae;Orth;two spotted cricket;Or;Thailand India (DeFoliart 2002, Hanboonsong et al 2000, Hanboonsong 2010) Laos (Yhoung- Aree et al 2005);syn Acheta bimaculatus Liogryllus bimaculatus. not recorded in Thailand ?;adult
Gryllus sp.;;Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);;
Gryllus syn check;testaceus Walk.;Gryllidae;Orth;;Or;Thailand (DeFoliart 2002);not recorded in Thailand ? See Teleogryllus mitratus (Burm.);
Gymnogryllus;leucostictus (Burm.);Gryllidae;Orth;;Or;Indonesia (Meer, v.d. Mohr 1965);syn G. elegans (Guér.);
Gymnogryllus sp.;;Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);2 ssp.;
Gymnogryllus syn;elegans Guér.;Gryllidae;Orth;;Or;Indonesia (Meer, v.d. Mohr 1965);see G. leucostictus (Burm.);
Homoeoxipha sp.;;Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);;
Liogryllus syn;;Gryllidae;Orth;;Or;India (Meyer-Rochow & Changkija;see Gryllus;
Modicogryllus;confirmatus (Walker);Gryllidae;Orth;;Or;"Thailand (Hanboonsong et al 2000,
Hanboonsong 2010) Laos (Yhoung-";syn A. confirmata;
Nisitrus;vittatus (Haan);Gryllidae;Orth;;Or;Indonesia (Meer, v.d. Mohr 1965);;
Pteronemobius sp.;;Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);;
Tarbinskiellus;orientalis (Burmeister);Gryllidae;Orth;bush cricket?;Or;India (Chakravorty et al 2011,;;adult
Tarbinskiellus;portentosus (Lichtenstein);Gryllidae;Orth;;Or;"Thailand (Hanboonson et al 2000) Thailand Myanmar Indonesia Vietnam India (DeFoliart 2002,
Lukiwati 2010) India (Meyer-Rochow";syn Brachytrupes, B. achatinus (Stoll);adult
Tarbinskiellus sp.;;Gryllidae;Orth;;Or;India (Singh et al 2007);;adult
Teleogryllus;mitratus (Burm.);Gryllidae;Orth;;Or;"Thailand (Hanboonsong et al 2000, DeFoliart 2002, Hanboonsong 2010) Indonesia (Meer, v.d. Mohr 1965)
Laos (Yhoung-Aree et al 2005)";syn Gryllus testaceus Walker, Teleogryllus testaceus (Walker);
Teleogryllus;occipitalis (Serville);Gryllidae;Orth;;Or;Thailand (Hanboonsong et al 2013);;
Teleogryllus sp.;;Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);;
Teleogryllus syn;testaceus (Walk.);Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);see T. mitratus;
Velarifictorus sp.;;Gryllidae;Orth;;Or;Thailand (Hanboonsong 2010);;
Gryllotalpa;africana Beauv.;Gryllotalpidae;Orth;African mole cricket;Or;"Thailand (Hanboonsong et al 2000) Thailand Philippines Vietnam India (DeFoliart 2002), Indonesia (Meer,
v.d. Mohr 1965) Laos (Yhoung-Aree";;nymph adult
Gryllotalpa;hirsuta Burmeister;Gryllotalpidae;Orth;;Or;Malaysia, Sabah (Chung et al 2002);syn Gryllotalpa longipennis (de Haan);
Gryllotalpa;"longipennis (de Haan)
syn";Gryllotalpidae;Orth;;Or;Malaysia, Sabah (Chung et al 2002);see G. hirsuta Burmeister;
Gryllotalpa sp.;;Gryllotalpidae;Orth;mole criquet;Or;"Indonesia (DeFoliart 2002) Philippines (Adalla et al 2010) India
(Singh et al 2007, Chakravorty et al";G. gryllotalpa is not Indian (Sing et al 2007);
Gryllotalpa syn;"africana microphtalma
Chopard";Gryllotalpidae;Orth;;Or;Thailand (Hanboonsong 2010);see G. africana Beauvois;
Atractomorpha;psittacina (de Haan);Pyrgomorphidae;Orth;spotted grasshopper;Or;Malaysia, Sabah (Chung et al 2002);;
Atractomorpha sp.;;Pyrgomorphidae;Orth;;Or;Thailand (Hanboonsong 2010);;
Diestrammena sp.;;Rhaphidophoridae;Orth;;Or;India (Singh et al 2007);;adult
Schizodactylus;monstrosus (Drury);Schizodactylidae;Orth;sand cricket;Or;"India (Singh et al 2007, Chakravorty
et al 2011 Chakravorty 2014)";;adult
Schizodactylus;tuberculatus Ander;Schizodactylidae;Orth;;Or;India (Singh, O, T. & Chakravorty, J.;;adult
Euparatettix sp.;;Tetrigidae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;adult
Arachnacris;tenuipes Giebel;Tettigoniidae;Orth;;Or;Malaysia, Sabah (Chung et al 2002);;
Arachnacris sp. ?;;Tettigoniidae;Orth;katydid;Or;India (Chakravorty et al 2011, 2013);syn Macrolyristes. genus not known from India;
Chloracris;"brullei Pictet & Saussure
?";Tettigoniidae;Orth;katydid;Or;India (Chakravorty et al 2011);species not known from India.  C. prasina ?;adult
Conocephalus;maculates (LeGuillou);Tettigoniidae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;
Conocephalus sp.;;Tettigoniidae;Orth;katydid;Or;"Thailand (Hanboonsong et al 2000,
Hanboonsong 2010) India";;adult
Euconocephalus;incertus (Walker);Tettigoniidae;Orth;;Or;Thailand (Hanboonsong et al 2000,;;
Euconocephalus sp.;;Tettigoniidae;Orth;;Or;"Vietnam (DeFoliart 2002), Laos
(Yhoung-Aree et al 2005,";;adult
Hexacentrus;unicolor Serville;Tettigoniidae;Orth;;Or;Malaysia, Sabah (Chung et al 2002);;
Holochlora;"albida Brunner von
Wattenwyl";Tettigoniidae;Orth;;Or;India (DeFoliart 2002);;
Holochlora;indica Kirby;Tettigoniidae;Orth;;Or;India (DeFoliart 2002);;
Macrolyristes syn;;Tettigoniidae;Orth;;Or;India (Chakravorty et al 2013);see Arachnacris;
Mecapoda;elongata (L.);Tettigoniidae;Orth;;Or;"Thailand Laos (Nonaka et al 2008,
Hanboonsong & Durst 2014); India (DeFoliart 2002), Indonesia (Meer,";;adult
Onomarchus sp.;;Tettigoniidae;Orth;;Or;"Thailand (Hanboonsong et al 2000,
Hanboonsong 2010) Malaysia,";;
Pseudophyllus;titan White;Tettigoniidae;Orth;;Or;"Thailand (Hanboonsong et al 2000,
Hanboonsong 2010) Laos (Yhoung-";;
Scudderia sp. check;;Tettigoniidae;Orth;;Or;Thailand (DeFoliart 2002);see Mecopoda, Scudderia is Nearctic;adult
Tettigonia sp.;;Tettigoniidae;Orth;;Or;India (Singh et al 2007);;nymph adult
Haaniella;echinata (Redtenbacher);Heteropterygidae;Phasmida;stick insect;Or;Malaysia, Sabah (Chung et al 2002);;
Haaniella;grayi (Westw.);Heteropterygidae;Phasmida;;Or;Malaysia (DeFoliart 2002, Chung;;egg
Eurycnema;versirubra (Serville);Phasmatidae;Phasmida;;Or;Malaysia (DeFoliart 2002);"syn E. versifasciata
(Serville)";excreta
Platycrana;viridana (Oliv.);Phasmatidae;Phasmida;;Or;Malaysia (DeFoliart 2002);;adult
Pediculus;humanus L.;Pediculidae;Phthirapter;;Or;Indonesia (Roepke 1951);;adult
Nemoura sp.;;Nemouridae;Plecoptera;;Or;India (Singh et al 2007);;nymph
Pteronarcys;dorsata (Say) check;Pteronarcyidae;Plecoptera;;Or;India (Singh et al 2007);P. dorsata is Nearctic;nymph
;;;"Trichopter
a sp.";;Or;"India (Meyer-Rochow & Changkija
1997)";;nymph
Chalcophora;yunnana Fairm.;Buprestidae;Col;;Pal;China (Chen et al 1999);;
Coraebus;sauteri Kerremans;Buprestidae;Col;;Pal;China (Chen et al 1999);;
Coraebus;sidae Kerremans;Buprestidae;Col;;Pal;China (Chen et al 1999);;
Sphenoptera;kozlovi Jak.;Buprestidae;Col;;Pal;China (Chen et al 1999);;
Anoplophora;chinensis (Forster);Cerambycidae;Col;;Pal;China (DeFoliart 2002);"syn Melanauster chinensis
Forster";larva
Anoplophora;glabripennis (Motsch.);Cerambycidae;Col;"Asian longhorn
beetle";Pal;China (Chen et al 1999);syn A. nobilis (Ganglbauer);
Anoplophora syn;nobilis (Ganglb.);Cerambycidae;Col;;Pal;China (Chen et al 1999);see A. glabripennis;
Apriona;germari (Hope);Cerambycidae;Col;"mulberry longhorn
beetle";Pal;China (Chen et al 1999);;
Apriona;rugicollis Chevrolat;Cerambycidae;Col;;Pal;Japan (Schimitschek 1968);;larva
Aromia;bungii (Faldermann);Cerambycidae;Col;;Pal;China (Chen et al 1999);;
Batocera;lineolata Chevrolat;Cerambicidae;Col;;Pal;Japan (Schimitschek 1968);;larva
Cerambycidae gen.;;Cerambycidae;Col;;Pal;China (DeFoliart 2002);;larva pupa
Dorysthenes;forficatus Fabr.;Cerambicidae;Col;;Pal;North Africa (Ghesquière, 1947);;
Prionus;insularis Motsch.;Cerambycidae;Col;;Pal;Japan (Schimitschek 1968);;larva
Psacothea;hilaris (Pascoe);Cerambycidae;Col;;Pal;China (DeFoliart 2002);;larva
Spenoptera;kozlovi Jakovleff;Cerambycidae;Col;;Pal;China (Chen et al 2009);;larva
Stromatium;longicorne (Newman);Cerambycidae;Col;;Pal;China (Chen et al 1999, 2009);;larva
Sagra;femorata (Drury);Chrysomelidae;Col;;Pal;China (Chen et al 1999);;
Larinus;mellificus Jekel;Curculionidae;Col;;Pal;Iran Syria (DeFoliart 2002));;pupa
Larinus;onopordi (F.);Curculionidae;Col;;Pal;Iran Iraq (DeFoliart 2002);;pupa
Larinus;rudicollis Petri;Curculionidae;Col;;Pal;Israel (DeFoliart 2002);;pupa
Larinus;syriacus (Gyll.);Curculionidae;Col;;Pal;Iran Iraq Syria (DeFoliart 2002);;pupa
Cyrtotrachelus;buqueti Guérin;"Curculionidae
Dryophthorinae";Col;"giant bamboo
weevil";Pal;China (Chen et al 2009);;larva
Cyrtotrachelus;longimanus (F.);"Curculionidae
Dryophthorinae";Col;bamboo weevil;Pal;China (DeFoliart 2002);;larva
Macrochirus;longipes Lacordaire;"Curculionidae
Dryophthorinae";Col;;Pal;China (Chen et al 1999);;
Otidognathus;davidis Fairm.;"Curculionidae
Dryophthorinae";Col;;Pal;China (Chen et al 1999);;
Rhynchophorus;ferrugineus (Oliv.);"Curculionidae
Dryophthorinae";Col;"red palm weevil
Asian palm weevil";Pal;China (DeFoliart 2002);;
Sphaerotrypes;yunnanensis Tsai & Yin;"Curculionidae
Scolytinae";Col;;Pal;China (Chen et al 1999);;
Tomicus;piniperda (L.);"Curculionidae
Scolytinae";Col;pine shoot beetle;Pal;China (Chen et al 2009);;
Xyleborus;emarginatus (Eichhoff);"Curculionidae
Scolytinae";Col;;Pal;China (Chen et al 1999);;
Acilius sp.;;Dytiscidae;Col;"predaceous diving
beetles";Pal;China (Ramos et al 2009);;
Agabus;fulvipennis Régimbart;Dytiscidae;Col;;Pal;China (Ramos et al 2009);"syn Gaurodytes fulvipennis
(Rég.)";
Cybister;bengalensis Aubé;Dytiscidae;Col;;Pal;China (DeFoliart 2002, Ramos et al;;adult
Cybister;brevis Aubé;Dytiscidae;Col;;Pal;Japan (Schimitschek 1968);;adult
Cybister;guerini Aubé;Dytiscidae;Col;;Pal;China (DeFoliart 2002), Japan;;adult
Cybister;japonicus Sharp;Dytiscidae;Col;;Pal;"China Japan (Schimitschek 1968,
DeFoliart 2002, Chen 1999, Jäch";;adult
Cybister;lewisianus Sharp;Dytiscidae;Col;;Pal;China (Ramos et al 2009);;
Cybister;limbatus (Fabr.);Dytiscidae;Col;;Pal;China (DeFoliart 2002, Chen 1999,;;adult
Cybister;sugillatus Er.;Dytiscidae;Col;;Pal;China (DeFoliart 2002) Japan;;adult
Cybister;tripunctatus (Oliv.);Dytiscidae;Col;;Pal;"China (DeFoliart 2002, Chen et al
1999, Jäch 2003, Japan";;adult
Dytiscidae gen.;;Dytiscidae;Col;;Pal;China Japan Taiwan (DeFoliart);;
Dytiscus;habilis (Say);Dytiscidae;Col;;Pal;China Japan (Ramos et al 2009);;
Dytiscus;marginalis L.;Dytiscidae;Col;;Pal;"China (DeFoliart 2002, Ramos et al
2009) Japan (Ramos et al 2009)";;adult
Dytiscus;validus Régimbart;Dytiscidae;Col;;Pal;Japan (Ramos et al 2009);;
Dytiscus sp.;;Dytiscidae;Col;;Pal;Japan (DeFoliart 2002);;adult
Platambus;guttulus (Régimbart);Dytiscidae;Col;;Pal;China (Ramos et al 2009);"syn Platynectus guttula
(Rég.)";
Rhantus;pulverosus (Stephens);Dytiscidae;Col;;Pal;Japan (Schimitschek 1968);;adult
Elateridae gen.;;Elateridae;Col;;Pal;Japan (DeFoliart 2002);;larva pupa
Gyrinus;curtus Motsch.;Gyrinidae;Col;;Pal;Japan (Schimitschek 1968);;larva adult
Gyrinus;japonicus Sharp;Gyrinidae;Col;;Pal;Japan (Schimitschek 1968);;larva adult
Dineutes;marginatus Sharp;Gyrinidae;Col;;Pal;Japan (Schimitschek 1968);;larva adult
Hydrophilus;acuminatus Motsch.;Hydrophilidae;Col;water scavenger beetles;Pal;"China (DeFoliart 2002, Chen et al 1999, Ramos et al 2009) Japan
(Ramos et al 2009)";syn Hydrous pallidipalpis Macleay;adult
Hydrophilus;bilineatus (MacLeay);Hydrophilidae;Col;;Pal;"China (DeFoliart 2002, Ramos et al
2009) Japan (Ramos et al 2009)";;adult
Hydrophilus;cavisternum (Bedel);Hydrophilidae;Col;;Pal;"China (DeFoliart 2002, Ramos et al
2009) Japan (Ramos et al 2009)";;adult
Hydrophilus;hastatus (Herbst);Hydrophilidae;Col;;Pal;"China (DeFoliart 2002, Ramos et al
2009), Japan (Ramos et al 2009)";;
Hydrophilus sp.;;Hydrophilidae;Col;;Pal;China (Jäch 2003);;
Hydrophilus syn;pallidipalpes (MacLeay);Hydrophilidae;Col;;Pal;China (DeFoliart 2002);"see H. acuminatus
(Motsch.)";adult
Tropisternus !!;collaris (F.);Hydrophilidae;Col;;Pal;Japan (Ramos et al 2009);misidentification thie is a Neotropic sp.;
Lucanus;maculifemoratus Motsch.;Lucanidae;Col;;Pal;Japan (Schimitschek 1968);;larva adult
Prosopocoilus;inclinatus (Motsch.);Lucanidae;Col;;Pal;Japan (Schimitschek 1968);syn Psalidoremus;larva adult
Psalidoremus syn;inclinatus (Motsch.);Lucanidae;Col;;Pal;Japan (Schimitschek 1968);see Prosopocoilus;larva adult
Allomyrina;dichotoma (L.);Scarabaeidae;Col;"Japanese
rhinoceros beetle";Pal;Japan (Schimitschek 1968);"syn Xylotrupes dichotomus
L.";larva
Amphimallon;assimile (Herbst);Scarabaeidae;Col;scarab beetles;Pal;Italy Moldavia Walachia (DeFoliart;;adult
Amphimallon;pini (Ol.);Scarabaeidae;Col;;Pal;Italy Moldavia Walachia (DeFoliart;;adult
Anomala;corpulenta Motsch.;Scarabaeidae;Col;;Pal;China (Chen et al 1999);;
Catharsius;molossus (L.);Scarabaeidae;Col;;Pal;"China (Chen et al 1999, DeFoliart
2002)";"syn Scarabaeus molossus
L.";larva
Holotrichia;oblita Faldermann;Scarabaeidae;Col;;Pal;China (Chen et al 1999);;
Holotrichia;parallela (Motsch.);Scarabaeidae;Col;;Pal;China (Chen et al 1999);;
Holotrichia;scrobiculata Brenske;Scarabaeidae;Col;;Pal;China (Chen et al 1999);;
Polyphylla;laticollis Lewis;Scarabaeidae;Col;;Pal;China (Chen et al 1999);;
Scarabaeidae gen.;;Scarabaeidae;Col;;Pal;China (DeFoliart 2002);;adult
Scarabaeus;sacer L.;Scarabaeidae;Col;;Pal;Egypt (DeFoliart 2002);;
Scarabaeus syn;molossus Linn.;Scarabaeidae;Col;;Pal;China (DeFoliart 2002);;
Xylotrupes;dichotomus (L.) syn;Scarabaeidae;Col;;Pal;Japan (Schimitschek 1968);"see Allomyrina dichotoma
(L.)";larva
Dicranocephalus;wallichi bowringi Pascoe;"Scarabaeidae
Cetoniinae";Col;;Pal;China (Chen et al 1999);;
Oxycetonia;jucunda (Faldermann);"Scarabaeidae
Cetoniinae";Col;;Pal;China (Chen et al 1999);;
